pregunta,categoria,intent,contexto,sinonimos
¿Cuánto vale?,precio,consulta_precio,pregunta_directa,"cuesta,vale,precio,costo,tarifa"
¿Qué precio tiene?,precio,consulta_precio,pregunta_directa,"cuesta,vale,precio,costo,tarifa"
¿Cuánto me sale?,precio,consulta_precio,informal,"cuesta,vale,precio,costo,tarifa"
¿A cuánto está?,precio,consulta_precio,coloquial,"cuesta,vale,precio,costo,tarifa"
¿Cuál es el precio?,precio,consulta_precio,formal,"cuesta,vale,precio,costo,tarifa"
¿Qué tan caro es?,precio,consulta_precio,comparativo,"caro,costoso,económico,barato"
¿Es muy caro?,precio,consulta_precio,preocupacion,"caro,costoso,económico,barato"
¿Está en oferta?,precio,consulta_oferta,promocion,"descuento,rebaja,promoción,ganga"
¿Hay descuentos?,precio,consulta_oferta,promocion,"descuento,rebaja,promoción,ganga"
¿Tienen promociones?,precio,consulta_oferta,promocion,"descuento,rebaja,promoción,ganga"
¿Cuánto cuesta la camiseta?,precio,consulta_precio_producto,especifico,"camiseta,polo,remera,playera"
¿Precio del pantalón?,precio,consulta_precio_producto,especifico,"pantalón,jean,vaquero,mezclilla"
¿Valor del vestido?,precio,consulta_precio_producto,especifico,"vestido,falda,túnica"
¿Costo de los zapatos?,precio,consulta_precio_producto,especifico,"zapatos,calzado,zapatillas,tenis"
Me interesa saber el precio,precio,interes_precio,formal,"interesa,quiero,deseo,necesito"
Quiero conocer el costo,precio,interes_precio,formal,"interesa,quiero,deseo,necesito"
Necesito saber cuánto vale,precio,necesidad_precio,urgente,"necesito,requiero,urge,preciso"
¿Podrías decirme el precio?,precio,solicitud_precio,cortés,"podrías,puedes,serías,harías"
Me gustaría conocer el precio,precio,interes_precio,educado,"gustaría,agradaría,complacería"
¿Tienen talla M?,talla,consulta_talla,especifica,"M,mediana,medium,38"
¿Hay talla grande?,talla,consulta_talla,generica,"grande,L,XL,XXL"
¿Qué tallas manejan?,talla,consulta_tallas_disponibles,general,"manejan,tienen,ofrecen,venden"
¿Tienen mi número?,talla,consulta_talla_personal,personal,"número,medida,size,talla"
¿Está disponible en talla S?,talla,consulta_disponibilidad_talla,especifica,"S,pequeña,chica,small"
¿Hay en talla 40?,talla,consulta_talla_numerica,numerica,"40,cuarenta,número 40"
¿Qué tallas tienen en stock?,talla,consulta_stock_tallas,inventario,"stock,existencia,disponible"
¿Tienen talla extra grande?,talla,consulta_talla_grande,especifica,"XL,XXL,extra grande"
¿Manejan tallas pequeñas?,talla,consulta_talla_pequeña,especifica,"XS,S,pequeña,chica"
No encuentro mi talla,talla,problema_talla,dificultad,"encuentro,hay,existe,tienen"
¿Podrían traer mi talla?,talla,solicitud_talla,peticion,"traer,conseguir,pedir,encargar"
¿Cuándo llega mi talla?,talla,consulta_reposicion,temporal,"llega,viene,restock,reposición"
¿Tienen stock?,disponibilidad,consulta_stock,general,"stock,existencia,disponible,hay"
¿Está disponible?,disponibilidad,consulta_disponibilidad,general,"disponible,hay,existe,tienen"
¿Hay en existencia?,disponibilidad,consulta_existencia,formal,"existencia,disponible,stock,hay"
¿Queda alguno?,disponibilidad,consulta_remanente,cantidad,"queda,sobra,resta,hay"
¿Tienen en tienda?,disponibilidad,consulta_tienda_fisica,ubicacion,"tienda,local,negocio,establecimiento"
¿Hay en stock hoy?,disponibilidad,consulta_stock_actual,temporal,"hoy,ahora,actual,momento"
¿Cuántos quedan?,disponibilidad,consulta_cantidad,inventario,"quedan,hay,sobran,restan"
Se agotó?,disponibilidad,consulta_agotamiento,preocupacion,"agotó,acabó,terminó,vendió"
¿Llegará más?,disponibilidad,consulta_reposicion,futuro,"llegará,vendrá,traerán,restock"
¿Cuándo restock?,disponibilidad,consulta_reposicion_tiempo,temporal,"restock,reposición,llegada,envío"
No hay en línea,disponibilidad,reporte_falta_online,problema,"línea,online,web,internet"
¿Pueden conseguirlo?,disponibilidad,solicitud_conseguir,peticion,"conseguir,traer,buscar,pedir"
¿Qué colores tienen?,color,consulta_colores,general,"colores,tonos,variantes,opciones"
¿Viene en azul?,color,consulta_color_especifico,especifico,"azul,celeste,marino,índigo"
¿Hay en negro?,color,consulta_color_especifico,especifico,"negro,oscuro,carbon"
¿Tienen en blanco?,color,consulta_color_especifico,especifico,"blanco,crema,hueso,marfil"
¿Qué tonos manejan?,color,consulta_variedad_colores,opciones,"tonos,matices,gama,colores"
¿Hay más colores?,color,consulta_mas_colores,opciones,"más,otros,diferentes,adicionales"
¿En qué colores viene?,color,consulta_colores_producto,especifico,"viene,hay,existe,ofrecen"
¿Tienen variedad de colores?,color,consulta_variedad,opciones,"variedad,surtido,gama,selección"
¿Cuáles son los colores?,color,consulta_lista_colores,informacion,"cuáles,qué,cómo,todos"
¿Hay en rojo?,color,consulta_color_especifico,especifico,"rojo,bermejo,escarlata,granate"
¿Viene en verde?,color,consulta_color_especifico,especifico,"verde,esmeralda,oliva,lime"
¿Tienen en gris?,color,consulta_color_especifico,especifico,"gris,plomo,plateado,acero"
¿Hola?,general,saludo,informal,"hola,hello,hi,buenas"
¿Buenos días?,general,saludo,formal,"días,tardes,noches,saludos"
¿Me pueden ayudar?,general,solicitud_ayuda,cortés,"ayudar,asistir,colaborar,apoyar"
Necesito información,general,solicitud_informacion,formal,"información,datos,detalles,ayuda"
¿Qué productos tienen?,general,consulta_catalogo,general,"productos,artículos,mercancía,items"
¿Cómo puedo comprar?,general,proceso_compra,procedimiento,"comprar,adquirir,conseguir,obtener"
¿Hacen envíos?,general,consulta_envios,logistica,"envíos,delivery,entregas,despachos"
¿Dónde están?,general,consulta_ubicacion,ubicacion,"están,ubican,encuentran,quedan"
¿Cuáles son sus horarios?,general,consulta_horarios,temporal,"horarios,horas,atención,abierto"
¿Aceptan devoluciones?,general,politica_devoluciones,politicas,"devoluciones,cambios,returns,garantía"
¿Cómo es el cambio?,general,proceso_cambio,procedimiento,"cambio,devolución,intercambio,switch"
¿Tienen garantía?,general,consulta_garantia,seguridad,"garantía,warranty,protección,cobertura"
¿Qué métodos de pago aceptan?,general,metodos_pago,pagos,"pago,payment,tarjeta,efectivo"
¿Puedo pagar con tarjeta?,general,pago_tarjeta,pagos,"tarjeta,card,crédito,débito"
¿Aceptan efectivo?,general,pago_efectivo,pagos,"efectivo,cash,billetes,monedas"
Estoy buscando algo,general,busqueda_general,busqueda,"buscando,busco,quiero,necesito"
¿Me podrían orientar?,general,solicitud_orientacion,ayuda,"orientar,guiar,aconsejar,recomendar"
¿Tienen catálogo?,general,consulta_catalogo,informacion,"catálogo,lista,inventario,productos"
¿Qué hay nuevo?,general,consulta_novedades,actualidad,"nuevo,novedades,reciente,último"
¿Hay ofertas especiales?,general,consulta_ofertas,promociones,"ofertas,especiales,promociones,descuentos"
¿Cuándo tienen descuentos?,general,consulta_descuentos_tiempo,temporal,"descuentos,rebajas,ofertas,promociones"
¿Es temporada de rebajas?,general,consulta_temporada,temporal,"temporada,rebajas,liquidación,sale"
¿Tienen programa de puntos?,general,consulta_fidelizacion,beneficios,"puntos,fidelización,rewards,loyalty"
¿Hay membresías?,general,consulta_membresia,beneficios,"membresías,membership,socios,miembros"
¿Cómo me registro?,general,proceso_registro,procedimiento,"registro,cuenta,sign up,inscripción"
¿Puedo ver el producto?,general,solicitud_ver_producto,inspeccion,"ver,revisar,examinar,mirar"
¿Cómo es la calidad?,general,consulta_calidad,caracteristicas,"calidad,quality,bueno,resistente"
¿Qué material es?,general,consulta_material,caracteristicas,"material,fabric,tela,textil"
¿Es cómodo?,general,consulta_comodidad,caracteristicas,"cómodo,comfortable,suave,agradable"
¿Cómo queda?,general,consulta_fit,apariencia,"queda,fit,ajusta,sienta"
¿Es para hombre o mujer?,general,consulta_genero,categoria,"hombre,mujer,unisex,género"
¿Tienen ropa infantil?,general,consulta_categoria_niños,categoria,"infantil,niños,kids,children"
¿Hay tallas grandes?,general,consulta_tallas_plus,categoria,"grandes,plus,size,tallas"
¿Manejan ropa deportiva?,general,consulta_categoria_deporte,categoria,"deportiva,sport,athletic,gym"
¿Tienen accesorios?,general,consulta_accesorios,categoria,"accesorios,accessories,complementos"
¿Venden zapatos?,general,consulta_calzado,categoria,"zapatos,calzado,shoes,footwear"
¿Hay joyería?,general,consulta_joyeria,categoria,"joyería,jewelry,joyas,bisutería"
¿Manejan perfumes?,general,consulta_perfumes,categoria,"perfumes,fragancias,colonias,esencias"
¿Tienen carteras?,general,consulta_carteras,categoria,"carteras,bolsos,bags,purses"
¿Hay cinturones?,general,consulta_cinturones,categoria,"cinturones,belts,correas,fajas"
¿Cuánto demora el envío?,general,tiempo_envio,logistica,"demora,tarda,tiempo,envío"
¿Cobran por envío?,general,costo_envio,logistica,"cobran,cuesta,envío,delivery"
¿Envían gratis?,general,envio_gratis,logistica,"gratis,free,sin costo,gratuito"
¿A qué ciudades envían?,general,cobertura_envio,logistica,"ciudades,lugares,zonas,destinos"
¿Puedo recoger en tienda?,general,pickup_tienda,logistica,"recoger,pickup,buscar,tienda"
¿Tienen WhatsApp?,general,consulta_contacto,comunicacion,"WhatsApp,contacto,teléfono,chat"
¿Cómo los contacto?,general,metodos_contacto,comunicacion,"contacto,comunicar,llamar,escribir"
¿Tienen página web?,general,consulta_web,digital,"página,web,website,internet"
¿Están en redes sociales?,general,consulta_redes,digital,"redes,sociales,Facebook,Instagram"
¿Tienen app móvil?,general,consulta_app,digital,"app,aplicación,móvil,celular"
¿Cómo me suscribo?,general,suscripcion,marketing,"suscribo,newsletter,noticias,ofertas"
¿Envían ofertas por email?,general,email_marketing,marketing,"email,correo,ofertas,promociones"
¿Hacen descuentos por volumen?,general,descuento_volumen,ventas,"volumen,cantidad,mayoreo,bulk"
¿Tienen venta corporativa?,general,venta_corporativa,ventas,"corporativa,empresas,business,company"
¿Hacen uniformes?,general,consulta_uniformes,servicios,"uniformes,corporativos,empresas,trabajo"
¿Personalizan prendas?,general,personalizacion,servicios,"personalizan,bordan,estampan,custom"
¿Hacen arreglos?,general,servicio_arreglos,servicios,"arreglos,ajustes,alteraciones,costura"
¿Tienen sastría?,general,servicio_sastreria,servicios,"sastría,sastrería,ajustes,medida"
¿Cuánto cuesta un arreglo?,general,costo_arreglos,servicios,"cuesta,precio,arreglo,ajuste"
¿Cuánto demoran los arreglos?,general,tiempo_arreglos,servicios,"demoran,tardan,tiempo,arreglos"
¿Dan comprobante?,general,consulta_comprobante,facturacion,"comprobante,factura,boleta,ticket"
¿Emiten factura?,general,consulta_factura,facturacion,"factura,invoice,tributaria,fiscal"
¿Necesito RUC?,general,consulta_ruc,facturacion,"RUC,factura,empresa,tributario"
¿Aceptan tarjeta de crédito?,pago,tarjeta_credito,pagos,"crédito,credit,visa,mastercard"
¿Puedo pagar en cuotas?,pago,pago_cuotas,pagos,"cuotas,installments,meses,dividir"
¿Aceptan Yape?,pago,pago_digital,pagos,"Yape,digital,móvil,celular"
¿Puedo pagar con Plin?,pago,pago_digital,pagos,"Plin,digital,móvil,transferencia"
¿Aceptan PayPal?,pago,pago_online,pagos,"PayPal,online,internacional,digital"
¿Hacen contra entrega?,pago,contra_entrega,pagos,"contra entrega,COD,pagar al recibir"
¿Puedo apartar?,pago,apartado,ventas,"apartar,reservar,hold,guardar"
¿Cuánto tiempo puedo apartar?,pago,tiempo_apartado,ventas,"tiempo,días,apartar,reservar"
¿Cobran por apartar?,pago,costo_apartado,ventas,"cobran,cuesta,apartar,reservar"
¿Hacen lay away?,pago,layaway,ventas,"lay away,apartado,reserva,separar"
¿Puedo devolver sin ticket?,devolucion,devolucion_sin_ticket,politicas,"devolver,sin ticket,recibo,comprobante"
¿Cuántos días para devolver?,devolucion,tiempo_devolucion,politicas,"días,tiempo,devolver,plazo"
¿Qué necesito para devolver?,devolucion,requisitos_devolucion,politicas,"necesito,requisitos,devolver,cambiar"
¿Devuelven el dinero?,devolucion,reembolso_dinero,politicas,"dinero,reembolso,efectivo,devuelven"
¿Puedo cambiar por otro producto?,devolucion,cambio_producto,politicas,"cambiar,otro,diferente,producto"
¿Aceptan cambios usados?,devolucion,cambio_usado,politicas,"usados,usado,wear,probado"
¿Devuelven productos en oferta?,devolucion,devolucion_oferta,politicas,"oferta,descuento,promoción,rebaja"
¿Puedo cambiar de talla sin ticket?,devolucion,cambio_sin_ticket,politicas,"cambiar,talla,sin ticket,comprobante"
¿Hay costo por cambio?,devolucion,costo_cambio,politicas,"costo,cobran,cambio,fee"
¿Cambian productos online?,devolucion,cambio_online,politicas,"online,internet,web,digital"
¿Dónde puedo cambiar?,devolucion,ubicacion_cambio,logistica,"dónde,lugar,cambiar,devolver"
¿Puedo devolver en cualquier tienda?,devolucion,devolucion_cualquier_tienda,logistica,"cualquier,otra,tienda,sucursal"
¿Qué pasa si está defectuoso?,devolucion,producto_defectuoso,calidad,"defectuoso,dañado,malo,falla"
¿Dan garantía por defectos?,devolucion,garantia_defectos,calidad,"garantía,defectos,warranty,fábrica"
¿Abren los domingos?,horario,domingo,temporal,"domingo,domingos,Sunday,fin de semana"
¿Hasta qué hora abren?,horario,hora_cierre,temporal,"hora,cierran,cierre,hasta"
¿A qué hora abren?,horario,hora_apertura,temporal,"hora,abren,apertura,desde"
¿Abren feriados?,horario,feriados,temporal,"feriados,holidays,festivos,especiales"
¿Cierran al mediodía?,horario,cierre_mediodia,temporal,"mediodía,lunch,almuerzo,descanso"
¿Atienden sábados?,horario,sabados,temporal,"sábados,Saturday,fin de semana"
¿Qué horario tienen?,horario,consulta_horario_general,temporal,"horario,schedule,hours,tiempo"
¿Están abiertos ahora?,horario,consulta_estado_actual,temporal,"abiertos,ahora,now,open"
¿Cierran temprano?,horario,cierre_temprano,temporal,"temprano,early,pronto,antes"
¿Tienen horario extendido?,horario,horario_extendido,temporal,"extendido,extended,largo,más"
¿Dónde queda su tienda?,ubicacion,direccion,geografia,"queda,está,ubicada,dirección"
¿Cuál es su dirección?,ubicacion,direccion_exacta,geografia,"dirección,address,ubicación,lugar"
¿Cómo llego?,ubicacion,como_llegar,geografia,"llego,voy,get,directions"
¿Hay estacionamiento?,ubicacion,estacionamiento,servicios,"estacionamiento,parking,aparcar,carro"
¿Tienen varias tiendas?,ubicacion,multiples_tiendas,geografia,"varias,otras,más,sucursales"
¿Cuál tienda me queda cerca?,ubicacion,tienda_cercana,geografia,"cerca,close,nearest,próxima"
¿Están en centros comerciales?,ubicacion,centro_comercial,geografia,"centro,mall,shopping,comercial"
¿Hay transporte público?,ubicacion,transporte_publico,geografia,"transporte,público,bus,metro"
¿Es fácil llegar?,ubicacion,acceso_facil,geografia,"fácil,easy,acceso,llegar"
¿Tienen GPS?,ubicacion,coordenadas_gps,geografia,"GPS,coordenadas,maps,ubicación"
¿Qué hay cerca?,ubicacion,alrededores,geografia,"cerca,around,alrededor,nearby"
¿Es zona segura?,ubicacion,seguridad_zona,seguridad,"segura,safe,security,peligroso"
¿Hay acceso para discapacitados?,ubicacion,acceso_discapacitados,accesibilidad,"discapacitados,wheelchair,acceso,rampas"
¿Tienen ascensor?,ubicacion,ascensor,accesibilidad,"ascensor,elevator,subir,pisos"
No encuentro lo que busco,problema,busqueda_fallida,frustracion,"encuentro,find,busco,quiero"
¿Pueden ayudarme a elegir?,problema,solicitud_asesoria,ayuda,"ayudar,elegir,choose,recomendar"
¿Qué me recomiendan?,problema,solicitud_recomendacion,ayuda,"recomiendan,suggest,aconsejan,proponen"
Estoy indeciso,problema,indecision,emocional,"indeciso,confused,dudas,uncertain"
¿Cuál es mejor?,problema,comparacion,decision,"mejor,best,compare,cuál"
¿Qué me conviene más?,problema,conveniencia,decision,"conviene,mejor,suit,fits"
¿Esto me queda bien?,problema,consulta_apariencia,estetica,"queda,looks,sienta,fits"
¿Cómo me veo?,problema,consulta_imagen,estetica,"veo,look,parezco,appear"
¿Me queda bien este color?,problema,consulta_color_personal,estetica,"color,queda,looks,suits"
¿Esta talla es correcta?,problema,confirmacion_talla,fit,"talla,correcta,right,size"
¿Debo probármelo?,problema,consulta_prueba,procedimiento,"probar,try,fitting,probador"
¿Dónde están los probadores?,problema,ubicacion_probadores,servicios,"probadores,fitting,dressing,cambiar"
¿Puedo probármelo?,problema,permiso_probar,procedimiento,"probar,try,fitting,test"
¿Cuántas prendas puedo probar?,problema,limite_probador,reglas,"cuántas,limit,prendas,items"
¿Hay cola para probar?,problema,espera_probador,tiempo,"cola,wait,line,queue"
¿Necesito acompañante en probador?,problema,acompañante_probador,reglas,"acompañante,together,friend,help"
¿Tienen espejo fuera del probador?,problema,espejo_externo,servicios,"espejo,mirror,outside,fuera"
¿Hay diferentes tamaños de probador?,problema,tamaños_probador,servicios,"tamaños,sizes,big,large"
¿Los probadores son privados?,problema,privacidad_probador,seguridad,"privados,private,privacy,locked"
Perdí mi ticket,problema,ticket_perdido,documentos,"perdí,lost,ticket,recibo"
¿Pueden buscar mi compra?,problema,buscar_compra,registros,"buscar,find,purchase,compra"
¿Registran las compras?,problema,registro_compras,sistema,"registran,record,keep,track"
¿Puedo recuperar mi ticket?,problema,recuperar_ticket,documentos,"recuperar,recover,get,ticket"
¿Qué hago sin ticket?,problema,sin_ticket,procedimiento,"sin,without,ticket,comprobante"
¿Aceptan foto del ticket?,problema,foto_ticket,documentos,"foto,picture,image,digital"
¿Vale ticket digital?,problema,ticket_digital,documentos,"digital,electronic,email,virtual"
Mi producto tiene defecto,problema,producto_defectuoso,calidad,"defecto,defective,dañado,broken"
¿Qué hago si algo está mal?,problema,producto_malo,procedimiento,"mal,wrong,bad,incorrecto"
¿Cambian productos dañados?,problema,cambio_dañado,politicas,"dañados,damaged,broken,defective"
¿Dan reemplazo inmediato?,problema,reemplazo_inmediato,servicio,"reemplazo,replacement,immediate,now"
¿Quién se hace responsable?,problema,responsabilidad,garantia,"responsable,responsible,liable,fault"
¿Puedo pedir compensación?,problema,compensacion,garantia,"compensación,compensation,extra,bonus"
El producto no es como esperaba,problema,expectativa_vs_realidad,satisfaccion,"esperaba,expected,different,thought"
¿Pueden cambiar mi opinión?,problema,cambio_opinion,persuasion,"opinión,mind,convince,persuade"
No me gusta el color,problema,disconformidad_color,preferencia,"gusta,like,color,shade"
¿Tienen este modelo en otra tienda?,disponibilidad,modelo_otra_tienda,inventario,"modelo,otra,tienda,branch"
¿Pueden traerlo de otra tienda?,disponibilidad,transferencia_tienda,logistica,"traer,transfer,otra,tienda"
¿Cuánto tardan en traerlo?,disponibilidad,tiempo_transferencia,logistica,"tardan,take,tiempo,traer"
¿Cobran por traer de otra tienda?,disponibilidad,costo_transferencia,logistica,"cobran,charge,costo,traer"
¿Puedo pedirlo especial?,disponibilidad,pedido_especial,ventas,"especial,special,order,custom"
¿Hacen pedidos a fábrica?,disponibilidad,pedido_fabrica,inventario,"fábrica,factory,manufacturer,direct"
¿Cuándo llega mercadería nueva?,disponibilidad,mercaderia_nueva,inventario,"mercadería,nueva,new,stock"
¿Cada cuánto renuevan stock?,disponibilidad,renovacion_stock,inventario,"renuevan,refresh,update,restock"
¿Avisan cuando llega?,disponibilidad,notificacion_llegada,servicio,"avisan,notify,alert,tell"
¿Puedo dejar mis datos?,disponibilidad,dejar_datos,contacto,"datos,contact,information,details"
¿Me llaman cuando llegue?,disponibilidad,llamada_llegada,comunicacion,"llaman,call,phone,contact"
¿Envían mensaje cuando llega?,disponibilidad,mensaje_llegada,comunicacion,"mensaje,text,SMS,WhatsApp"
¿Cómo sabré que llegó?,disponibilidad,confirmacion_llegada,comunicacion,"sabré,know,confirm,arrived"
¿Puedo reservar el producto?,disponibilidad,reserva_producto,ventas,"reservar,reserve,hold,keep"
¿Por cuánto tiempo lo reservan?,disponibilidad,tiempo_reserva,ventas,"tiempo,time,days,hold"
¿Cobran por reservar?,disponibilidad,costo_reserva,ventas,"cobran,charge,fee,cost"
¿Qué pasa si no vengo por la reserva?,disponibilidad,reserva_no_reclamada,politicas,"pasa,happens,no vengo,miss"
¿Pierdo la reserva?,disponibilidad,perdida_reserva,politicas,"pierdo,lose,forfeit,cancel"
¿Pueden guardar mi talla?,disponibilidad,guardar_talla,servicio,"guardar,save,keep,hold"
Es para regalo,compra,regalo,motivacion,"regalo,gift,present,surprise"
¿Envuelven para regalo?,compra,envoltorio_regalo,servicios,"envuelven,wrap,gift,present"
¿Cobran por envolver?,compra,costo_envoltorio,servicios,"cobran,charge,envolver,wrap"
¿Tienen bolsas de regalo?,compra,bolsas_regalo,servicios,"bolsas,bags,gift,present"
¿Dan tarjeta de regalo?,compra,tarjeta_regalo,servicios,"tarjeta,card,gift,voucher"
¿Puedo comprar un voucher?,compra,voucher,servicios,"voucher,certificate,card,credit"
¿El regalo incluye precio?,compra,precio_en_regalo,politicas,"precio,price,tag,etiqueta"
¿Pueden quitar el precio?,compra,quitar_precio,servicios,"quitar,remove,price,tag"
¿La persona puede cambiar el regalo?,compra,cambio_regalo,politicas,"cambiar,exchange,gift,return"
¿Qué pasa si no le gusta el regalo?,compra,regalo_no_gusta,politicas,"gusta,like,gift,return"
¿Pueden cambiar sin saber quién regaló?,compra,cambio_anonimo,politicas,"cambiar,anonymous,quien,regaló"
¿Necesita saber el precio para cambiar?,compra,precio_para_cambio,politicas,"precio,price,cambiar,exchange"
¿Dan nota de regalo?,compra,nota_regalo,servicios,"nota,note,card,message"
¿Puedo escribir una dedicatoria?,compra,dedicatoria,servicios,"dedicatoria,message,note,write"
¿Entregan a domicilio los regalos?,compra,entrega_regalos,logistica,"entregan,deliver,regalos,gifts"
¿Es más caro el envío de regalos?,compra,costo_envio_regalos,logistica,"caro,expensive,envío,delivery"
¿Puedo enviarlo directo al destinatario?,compra,envio_directo,logistica,"directo,direct,destinatario,recipient"
¿Me avisan si entregaron el regalo?,compra,confirmacion_entrega_regalo,comunicacion,"avisan,notify,entregaron,delivered"
Soy estudiante,descuento,estudiante,categoria,"estudiante,student,university,college"
¿Tienen descuento estudiantil?,descuento,descuento_estudiante,beneficio,"descuento,discount,estudiantil,student"
¿Qué documentos necesito?,descuento,documentos_descuento,requisitos,"documentos,documents,papers,ID"
¿Aplica para universitarios?,descuento,descuento_universitario,categoria,"universitarios,university,college,higher"
¿También para institutos?,descuento,descuento_instituto,categoria,"institutos,institute,technical,vocational"
¿Hay descuento para adulto mayor?,descuento,descuento_adulto_mayor,categoria,"adulto mayor,senior,elderly,third age"
¿Descuento por discapacidad?,descuento,descuento_discapacidad,categoria,"discapacidad,disability,handicap,special needs"
¿Tienen descuento familiar?,descuento,descuento_familiar,categoria,"familiar,family,group,relatives"
¿Hay promoción por cumpleaños?,descuento,promocion_cumpleaños,beneficio,"cumpleaños,birthday,celebration,anniversary"
¿Descuento para empleados?,descuento,descuento_empleados,categoria,"empleados,employees,workers,staff"
¿Aplicar múltiples descuentos?,descuento,multiples_descuentos,politicas,"múltiples,multiple,varios,combine"
¿Se acumulan los descuentos?,descuento,acumulacion_descuentos,politicas,"acumulan,accumulate,stack,combine"
¿Cuál es el máximo descuento?,descuento,descuento_maximo,limitaciones,"máximo,maximum,most,highest"
¿El descuento aplica a todo?,descuento,aplicacion_total,cobertura,"todo,everything,all,entire"
¿Hay productos sin descuento?,descuento,exclusiones_descuento,limitaciones,"sin,without,exclude,exception"
¿Descuento en productos nuevos?,descuento,descuento_productos_nuevos,cobertura,"nuevos,new,latest,recent"
¿Aplica en artículos en oferta?,descuento,descuento_ofertas,cobertura,"oferta,sale,promotion,discounted"
¿Hasta cuándo es válido?,descuento,vigencia_descuento,temporal,"válido,valid,expires,until"
¿Puedo usarlo después?,descuento,uso_posterior,temporal,"después,later,future,next time"
¿El descuento es solo hoy?,descuento,descuento_temporal,temporal,"hoy,today,only,temporary"